Name,Kind,WD,Retail Price,Dealer Cost,EngineSize,Weight,Width
Mercedes-Benz C240 4dr,CellDx,AWD,33480,31187,2,3360,68
Jaguar X-Type 3.0 4dr,CellDx,AWD,33995,30995,3,3516,70
Audi A4 3.0 Quattro 4dr auto,CellDx,AWD,34480,31388,3,3627,70
Mercury Marauder 4dr,CellDx,RWD,34495,31558,4,4195,78
Volvo S60 T5 4dr,CellDx,,34845,32902,2,3766,71
Saab 9-5 Arc 4dr,CellDx,,35105,33011,2,3470,71
BMW 330i 4dr,CellDx,RWD,35495,32525,3,3285,69
Buick Park Avenue 4dr,CellDx,,35545,32244,3,3778,75
Mercedes-Benz C320 Sport 4dr,CellDx,RWD,35920,33456,3,3430,68
Audi A41.8T convertible 2dr,CellDx,,35940,32506,1,3638,70
Pontiac Bonneville GXP 4dr,CellDx,,35995,32997,4,3790,74
Audi A6 3.0 4dr,CellDx,,36640,33129,3,3561,71
Lincoln LS V6 Premium 4dr,CellDx,RWD,36895,33929,3,3681,73
BMW 330Ci 2dr,CellDx,RWD,36995,33890,3,3285,69
BMW 330xi 4dr,CellDx,AWD,37245,34115,3,3483,69
Volvo S60 R 4dr,CellDx,AWD,37560,35382,2,3571,71
Mercedes-Benz C320 4dr,CellDx,RWD,37630,35046,3,3450,68
Volvo S80 2.9 4dr,CellDx,,37730,35542,2,3576,72
Volvo S80 2.5T 4dr,CellDx,AWD,37885,35688,2,3691,72
BMW 325Ci convertible 2dr,CellDx,RWD,37995,34800,2,3560,69
Mercedes-Benz C320 4dr,CellDx,AWD,38830,36162,3,3550,68
Volkswagen Passat W8 4MOTION 4dr,CellDx,,39235,36052,4,3953,69
Saab 9-5 Aero 4dr,CellDx,,39465,37721,2,3470,71
Audi A6 3.0 Quattro 4dr,CellDx,AWD,39640,35992,3,3880,71
BMW 525i 4dr,CellDx,RWD,39995,36620,2,3428,73
Lincoln LS V8 Sport 4dr,CellDx,RWD,40095,36809,3,3768,73
Volvo C70 LPT convertible 2dr,CellDx,,40565,38203,2,3450,72
Saab 9-3 Arc convertible 2dr,CellDx,,40670,38520,2,3480,69
Buick Park Avenue Ultra 4dr,CellDx,,40720,36927,3,3909,75
Lexus GS 300 4dr,CellDx,RWD,41010,36196,3,3649,71
Lincoln Town Car Signature 4dr,CellDx,RWD,41815,38418,4,4369,78
Audi A4 3.0 convertible 2dr,CellDx,,42490,38325,3,3814,70
Volvo C70 HPT convertible 2dr,CellDx,,42565,40083,2,3450,72
Audi A6 2.7 Turbo Quattro 4dr,CellDx,AWD,42840,38840,2,3836,71
Infiniti M45 4dr,CellDx,RWD,42845,38792,4,3851,70
Saab 9-3 Aero convertible 2dr,CellDx,,43175,40883,2,3700,69
Lincoln LS V8 Ultimate 4dr,CellDx,RWD,43495,39869,3,3768,73
Acura 3.5 RL 4dr,CellDx,,43755,39014,3,3880,72
Jaguar S-Type 3.0 4dr,CellDx,RWD,43895,40004,3,3777,72
Audi A4 3.0 Quattro convertible 2dr,CellDx,AWD,44240,40075,3,4013,70
BMW 330Ci convertible 2dr,CellDx,RWD,44295,40530,3,3616,69
Lincoln Town Car Ultimate 4dr,CellDx,RWD,44925,41217,4,4369,78
BMW 530i 4dr,CellDx,RWD,44995,41170,3,3472,73
Volvo S80 T6 4dr,CellDx,,45210,42573,2,3653,72
Cadillac Deville 4dr,CellDx,,45445,41650,4,3984,74
Mercedes-Benz CLK320 coupe 2dr (convertible),CellDx,RWD,45707,41966,3,3770,69
Acura 3.5 RL w/Navigation 4dr,CellDx,,46100,41100,3,3893,72
Cadillac Seville SLS 4dr,CellDx,,47955,43841,4,3992,75
Audi S4 Quattro 4dr,CellDx,AWD,48040,43556,4,3825,70
Mercedes-Benz E320 4dr,CellDx,RWD,48170,44849,3,3635,71
Lexus GS 430 4dr,CellDx,RWD,48450,42232,4,3715,71
Audi A6 4.2 Quattro 4dr,CellDx,AWD,49690,44936,4,4024,71
Jaguar S-Type 4.2 4dr,CellDx,RWD,49995,45556,4,3874,72
Lincoln Town Car Ultimate L 4dr,CellDx,RWD,50470,46208,4,4474,78
Cadillac Deville DTS 4dr,CellDx,,50595,46362,4,4044,74
Mercedes-Benz C32 AMG 4dr,CellDx,RWD,52120,48522,3,3540,68
Infiniti Q45 Luxury 4dr,CellDx,RWD,52545,47575,4,3977,73
Mercedes-Benz CLK500 coupe 2dr (convertible),CellDx,RWD,52800,49104,5,3585,69
BMW 545iA 4dr,CellDx,RWD,54995,50270,4,3814,73
Lexus LS 430 4dr,CellDx,RWD,55750,48583,4,3990,72
Mercedes-Benz E500 4dr,CellDx,RWD,57270,53382,5,3815,71
Jaguar XJ8 4dr,CellDx,RWD,59995,54656,4,3803,73
Jaguar S-Type R 4dr,CellDx,RWD,63120,57499,4,4046,72
Volkswagen Phaeton 4dr,CellDx,,65000,59912,4,5194,75
Jaguar Vanden Plas 4dr,CellDx,RWD,68995,62846,4,3803,73
Audi A8 L Quattro 4dr,CellDx,AWD,69190,64740,4,4399,75
BMW 745i 4dr,CellDx,RWD,69195,63190,4,4376,75
BMW 745Li 4dr,CellDx,RWD,73195,66830,4,4464,75
Mercedes-Benz S430 4dr,CellDx,RWD,74320,69168,4,4160,73
Jaguar XJR 4dr,CellDx,RWD,74995,68306,4,3948,73
Volkswagen Phaeton W12 4dr,CellDx,,75000,69130,6,5399,75
Mercedes-Benz S500 4dr,CellDx,AWD,86970,80939,5,4390,73
Mercedes-Benz CL500 2dr,CellDx,RWD,94820,88324,5,4085,73
Mercedes-Benz CL600 2dr,CellDx,RWD,128420,119600,5,4473,73
