Vehicle Name,CellDx,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,EngineSize,Weight,Width
GMC Yukon XL 2500 SLT,0,0,1,0,0,0,1,0,46265,40534,6,6133,79
Honda Accord EX 2dr,1,0,0,0,0,0,0,0,22260,20080,2.4,3047,71
Honda Accord EX V6 2dr,1,0,0,0,0,0,0,0,26960,24304,3,3294,71
Honda Accord LX 2dr,1,0,0,0,0,0,0,0,19860,17924,2.4,2994,71
Honda Accord LX V6 4dr,1,0,0,0,0,0,0,0,23760,21428,3,3349,72
Honda Civic DX 2dr,1,0,0,0,0,0,0,0,13270,12175,1.7,2432,67
Honda Civic EX 4dr,1,0,0,0,0,0,0,0,17750,16265,1.7,2601,68
Honda Civic HX 2dr,1,0,0,0,0,0,0,0,14170,12996,1.7,2500,67
Honda Civic Hybrid 4dr manual (gas/electric),1,0,0,0,0,0,0,0,20140,18451,1.4,2732,68
Honda Civic LX 4dr,1,0,0,0,0,0,0,0,15850,14531,1.7,2513,68
Honda Civic Si 2dr hatch,1,0,0,0,0,0,0,0,19490,17849,2,2782,67
Honda CR-V LX,0,0,1,0,0,0,1,0,19860,18419,2.4,3258,70
Honda Element LX,0,0,1,0,0,0,1,0,18690,17334,2.4,3468,72
Honda Insight 2dr (gas/electric),1,0,0,0,0,0,0,0,19110,17911,2,1850,67
Honda Odyssey EX,0,0,0,0,1,0,0,0,27450,24744,3.5,4365,76
Honda Odyssey LX,0,0,0,0,1,0,0,0,24950,22498,3.5,4310,76
Honda Pilot LX,0,0,1,0,0,0,1,0,27560,24843,3.5,4387,77
Honda S2000 convertible 2dr,0,1,0,0,0,0,0,1,33260,29965,2.2,2835,69
Hummer H2,0,0,1,0,0,0,1,0,49995,45815,6,6400,81
Hyundai Accent 2dr hatch,1,0,0,0,0,0,0,0,10539,10107,1.6,2255,66
Hyundai Accent GL 4dr,1,0,0,0,0,0,0,0,11839,11116,1.6,2290,66
Hyundai Accent GT 2dr hatch,1,0,0,0,0,0,0,0,11939,11209,1.6,2339,66
Hyundai Elantra GLS 4dr,1,0,0,0,0,0,0,0,13839,12781,2,2635,68
Hyundai Elantra GT 4dr,1,0,0,0,0,0,0,0,15389,14207,2,2635,68
Hyundai Elantra GT 4dr hatch,1,0,0,0,0,0,0,0,15389,14207,2,2698,68
Hyundai Santa Fe GLS,0,0,1,0,0,0,0,0,21589,20201,2.7,3549,73
Hyundai Sonata GLS 4dr,1,0,0,0,0,0,0,0,19339,17574,2.7,3217,72
Hyundai Sonata LX 4dr,1,0,0,0,0,0,0,0,20339,18380,2.7,3217,72
Hyundai Tiburon GT V6 2dr,0,1,0,0,0,0,0,0,18739,17101,2.7,3023,69
Hyundai XG350 4dr,1,0,0,0,0,0,0,0,24589,22055,3.5,3651,72
Hyundai XG350 L 4dr,1,0,0,0,0,0,0,0,26189,23486,3.5,3651,72
Infiniti FX35,0,0,0,1,0,0,0,1,34895,31756,3.5,4056,76
Infiniti FX45,0,0,0,1,0,0,1,0,36395,33121,4.5,4309,76
Infiniti G35 4dr,1,0,0,0,0,0,0,1,28495,26157,3.5,3336,69
Infiniti G35 4dr,1,0,0,0,0,0,1,0,32445,29783,3.5,3677,69
Infiniti G35 Sport Coupe 2dr,1,0,0,0,0,0,0,1,29795,27536,3.5,3416,72
Infiniti I35 4dr,1,0,0,0,0,0,0,0,31145,28320,3.5,3306,70
Infiniti M45 4dr,1,0,0,0,0,0,0,1,42845,38792,4.5,3851,70
Infiniti Q45 Luxury 4dr,1,0,0,0,0,0,0,1,52545,47575,4.5,3977,73
Isuzu Ascender S,0,0,1,0,0,0,1,0,31849,29977,4.2,4967,76
Isuzu Rodeo S,0,0,1,0,0,0,0,0,20449,19261,3.2,3836,70
Jaguar S-Type 3.0 4dr,1,0,0,0,0,0,0,1,43895,40004,3,3777,72
Jaguar S-Type 4.2 4dr,1,0,0,0,0,0,0,1,49995,45556,4.2,3874,72
Jaguar S-Type R 4dr,1,0,0,0,0,0,0,1,63120,57499,4.2,4046,72
Jaguar Vanden Plas 4dr,1,0,0,0,0,0,0,1,68995,62846,4.2,3803,73
Jaguar XJ8 4dr,1,0,0,0,0,0,0,1,59995,54656,4.2,3803,73
Jaguar XJR 4dr,1,0,0,0,0,0,0,1,74995,68306,4.2,3948,73
Jaguar XK8 convertible 2dr,0,1,0,0,0,0,0,1,74995,68306,4.2,3980,71
Jaguar XK8 coupe 2dr,0,1,0,0,0,0,0,1,69995,63756,4.2,3779,71
Jaguar XKR convertible 2dr,0,1,0,0,0,0,0,1,86995,79226,4.2,4042,71
Jaguar XKR coupe 2dr,0,1,0,0,0,0,0,1,81995,74676,4.2,3865,71
Jaguar X-Type 2.5 4dr,1,0,0,0,0,0,1,0,29995,27355,2.5,3428,70
Jaguar X-Type 3.0 4dr,1,0,0,0,0,0,1,0,33995,30995,3,3516,70
Jeep Grand Cherokee Laredo,0,0,1,0,0,0,0,0,27905,25686,4,3790,72
Jeep Liberty Sport,0,0,1,0,0,0,1,0,20130,18973,2.4,3826,72
Jeep Wrangler Sahara convertible 2dr,0,0,1,0,0,0,1,0,25520,23275,4,3575,67
Kia Optima LX 4dr,1,0,0,0,0,0,0,0,16040,14910,2.4,3281,72
Kia Optima LX V6 4dr,1,0,0,0,0,0,0,0,18435,16850,2.7,3279,72
Kia Rio 4dr auto,1,0,0,0,0,0,0,0,11155,10705,1.6,2458,66
Kia Rio 4dr manual,1,0,0,0,0,0,0,0,10280,9875,1.6,2403,66
Kia Rio Cinco,0,0,0,1,0,0,0,0,11905,11410,1.6,2447,66
Kia Sedona LX,0,0,0,0,1,0,0,0,20615,19400,3.5,4802,75
Kia Sorento LX,0,0,1,0,0,0,0,0,19635,18630,3.5,4112,73
Kia Spectra 4dr,1,0,0,0,0,0,0,0,12360,11630,1.8,2661,68
Kia Spectra GS 4dr hatch,1,0,0,0,0,0,0,0,13580,12830,1.8,2686,68
Kia Spectra GSX 4dr hatch,1,0,0,0,0,0,0,0,14630,13790,1.8,2697,68
Land Rover Discovery SE,0,0,1,0,0,0,1,0,39250,35777,4.6,4576,74
Land Rover Freelander SE,0,0,1,0,0,0,1,0,25995,23969,2.5,3577,71
Land Rover Range Rover HSE,0,0,1,0,0,0,1,0,72250,65807,4.4,5379,76
Lexus ES 330 4dr,1,0,0,0,0,0,0,0,32350,28755,3.3,3460,71
Lexus GS 300 4dr,1,0,0,0,0,0,0,1,41010,36196,3,3649,71
Lexus GS 430 4dr,1,0,0,0,0,0,0,1,48450,42232,4.3,3715,71
Lexus GX 470,0,0,1,0,0,0,1,0,45700,39838,4.7,4740,74
Lexus IS 300 4dr auto,1,0,0,0,0,0,0,1,32415,28611,3,3285,68
Lexus IS 300 4dr manual,1,0,0,0,0,0,0,1,31045,27404,3,3255,68
Lexus IS 300 SportCross,0,0,0,1,0,0,0,1,32455,28647,3,3410,68
Lexus LS 430 4dr,1,0,0,0,0,0,0,1,55750,48583,4.3,3990,72
Lexus LX 470,0,0,1,0,0,0,1,0,64800,56455,4.7,5590,76
Lexus RX 330,0,0,1,0,0,0,1,0,39195,34576,3.3,4065,73
Lexus SC 430 convertible 2dr,0,1,0,0,0,0,0,1,63200,55063,4.3,3840,72
Lincoln Aviator Ultimate,0,0,1,0,0,0,0,0,42915,39443,4.6,4834,76
Lincoln LS V6 Luxury 4dr,1,0,0,0,0,0,0,1,32495,29969,3,3681,73
Lincoln LS V6 Premium 4dr,1,0,0,0,0,0,0,1,36895,33929,3,3681,73
Lincoln LS V8 Sport 4dr,1,0,0,0,0,0,0,1,40095,36809,3.9,3768,73
Lincoln LS V8 Ultimate 4dr,1,0,0,0,0,0,0,1,43495,39869,3.9,3768,73
Lincoln Navigator Luxury,0,0,1,0,0,0,1,0,52775,46360,5.4,5969,80
Lincoln Town Car Signature 4dr,1,0,0,0,0,0,0,1,41815,38418,4.6,4369,78
Lincoln Town Car Ultimate 4dr,1,0,0,0,0,0,0,1,44925,41217,4.6,4369,78
Lincoln Town Car Ultimate L 4dr,1,0,0,0,0,0,0,1,50470,46208,4.6,4474,78
Mazda MPV ES,0,0,0,0,1,0,0,0,28750,26600,3,3812,72
Mazda MX-5 Miata convertible 2dr,0,1,0,0,0,0,0,1,22388,20701,1.8,2387,66
Mazda MX-5 Miata LS convertible 2dr,0,1,0,0,0,0,0,1,25193,23285,1.8,2387,66
Mazda Tribute DX 2.0,0,0,1,0,0,0,1,0,21087,19742,2,3091,72
Mazda6 i 4dr,1,0,0,0,0,0,0,0,19270,17817,2.3,3042,70
Mercedes-Benz C230 Sport 2dr,1,0,0,0,0,0,0,1,26060,24249,1.8,3250,68
Mercedes-Benz C240,0,0,0,1,0,0,0,1,33780,31466,2.6,3470,68
Mercedes-Benz C240 4dr,1,0,0,0,0,0,0,1,32280,30071,2.6,3360,68
Mercedes-Benz C240 4dr,1,0,0,0,0,0,1,0,33480,31187,2.6,3360,68
Mercedes-Benz C32 AMG 4dr,1,0,0,0,0,0,0,1,52120,48522,3.2,3540,68
Mercedes-Benz C320 4dr,1,0,0,0,0,0,0,1,37630,35046,3.2,3450,68
Mercedes-Benz C320 4dr,1,0,0,0,0,0,1,0,38830,36162,3.2,3550,68
Mercedes-Benz C320 Sport 2dr,1,0,0,0,0,0,0,1,28370,26435,3.2,3430,68
Mercedes-Benz C320 Sport 4dr,1,0,0,0,0,0,0,1,35920,33456,3.2,3430,68
Mercedes-Benz CL500 2dr,1,0,0,0,0,0,0,1,94820,88324,5,4085,73
Mercedes-Benz CL600 2dr,1,0,0,0,0,0,0,1,128420,119600,5.5,4473,73
Mercedes-Benz CLK320 coupe 2dr (convertible),1,0,0,0,0,0,0,1,45707,41966,3.2,3770,69
Mercedes-Benz CLK500 coupe 2dr (convertible),1,0,0,0,0,0,0,1,52800,49104,5,3585,69
Mercedes-Benz E320,0,0,0,1,0,0,0,1,50670,47174,3.2,3966,71
Mercedes-Benz E320 4dr,1,0,0,0,0,0,0,1,48170,44849,3.2,3635,71
Mercedes-Benz E500,0,0,0,1,0,0,1,0,60670,56474,5,4230,71
Mercedes-Benz E500 4dr,1,0,0,0,0,0,0,1,57270,53382,5,3815,71
Mercedes-Benz G500,0,0,1,0,0,0,1,0,76870,71540,5,5423,71
Mercedes-Benz ML500,0,0,1,0,0,0,1,0,46470,43268,5,4874,72
Mercedes-Benz S430 4dr,1,0,0,0,0,0,0,1,74320,69168,4.3,4160,73
Mercedes-Benz S500 4dr,1,0,0,0,0,0,1,0,86970,80939,5,4390,73
Mercedes-Benz SL500 convertible 2dr,0,1,0,0,0,0,0,1,90520,84325,5,4065,72
Mercedes-Benz SL55 AMG 2dr,0,1,0,0,0,0,0,1,121770,113388,5.5,4235,72
Mercedes-Benz SL600 convertible 2dr,0,1,0,0,0,0,0,1,126670,117854,5.5,4429,72
Mercedes-Benz SLK230 convertible 2dr,0,1,0,0,0,0,0,1,40320,37548,2.3,3055,68
Mercedes-Benz SLK32 AMG 2dr,0,1,0,0,0,0,0,1,56170,52289,3.2,3220,68
Mercury Grand Marquis GS 4dr,1,0,0,0,0,0,0,1,24695,23217,4.6,4052,78
Mercury Grand Marquis LS Premium 4dr,1,0,0,0,0,0,0,1,29595,27148,4.6,4052,78
Nissan 350Z Enthusiast convertible 2drMercury Grand Marquis LS Ultimate 4dr,1,0,0,0,0,0,0,1,30895,28318,4.6,4052,78
Mercury Marauder 4dr,1,0,0,0,0,0,0,1,34495,31558,4.6,4195,78
Mercury Monterey Luxury,0,0,0,0,1,0,0,0,33995,30846,4.2,4340,77
Mercury Mountaineer,0,0,1,0,0,0,0,0,29995,27317,4,4374,72
Mercury Sable GS,0,0,0,1,0,0,0,0,22595,20748,3,3488,73
Mercury Sable GS 4dr,1,0,0,0,0,0,0,0,21595,19848,3,3308,73
Mercury Sable LS Premium 4dr,1,0,0,0,0,0,0,0,23895,21918,3,3315,73
Mini Cooper,1,0,0,0,0,0,0,0,16999,15437,1.6,2524,67
Mini Cooper S,1,0,0,0,0,0,0,0,19999,18137,1.6,2678,67
Mitsubishi Diamante LS 4dr,1,0,0,0,0,0,0,0,29282,27250,3.5,3549,70
Mitsubishi Eclipse GTS 2dr,0,1,0,0,0,0,0,0,25092,23456,3,3241,69
Mitsubishi Eclipse Spyder GT convertible 2dr,0,1,0,0,0,0,0,0,26992,25218,3,3296,69
Mitsubishi Endeavor XLS,0,0,1,0,0,0,1,0,30492,28330,3.8,4134,74
Mitsubishi Galant ES 2.4L 4dr,1,0,0,0,0,0,0,0,19312,17957,2.4,3351,72
Mitsubishi Galant GTS 4dr,1,0,0,0,0,0,0,0,25700,23883,3.8,3649,72
Mitsubishi Lancer ES 4dr,1,0,0,0,0,0,0,0,14622,13751,2,2656,67
Mitsubishi Lancer Evolution 4dr,0,1,0,0,0,0,0,0,29562,27466,2,3263,70
Mitsubishi Lancer LS 4dr,1,0,0,0,0,0,0,0,16722,15718,2,2795,67
Mitsubishi Lancer OZ Rally 4dr auto,1,0,0,0,0,0,0,0,17232,16196,2,2744,67
Mitsubishi Lancer Sportback LS,0,0,0,1,0,0,0,0,17495,16295,2.4,3020,67
Mitsubishi Montero XLS,0,0,1,0,0,0,1,0,33112,30763,3.8,4718,75
Mitsubishi Outlander LS,0,0,1,0,0,0,0,0,18892,17569,2.4,3240,69
Nissan 350Z coupe 2dr,0,1,0,0,0,0,0,1,26910,25203,3.5,3188,72
Nissan 350Z Enthusiast convertible 2dr,0,1,0,0,0,0,0,1,34390,31845,3.5,3428,72
Nissan Altima S 4dr,1,0,0,0,0,0,0,0,19240,18030,2.5,3039,70
Nissan Altima SE 4dr,1,0,0,0,0,0,0,0,23290,21580,3.5,3197,70
Nissan Frontier King Cab XE V6,0,0,0,0,0,1,1,0,19479,18253,3.3,3932,70
Nissan Maxima SE 4dr,1,0,0,0,0,0,0,0,27490,25182,3.5,3473,72
Nissan Maxima SL 4dr,1,0,0,0,0,0,0,0,29440,26966,3.5,3476,72
Nissan Murano SL,0,0,0,1,0,0,0,1,28739,27300,3.5,3801,74
Nissan Pathfinder Armada SE,0,0,1,0,0,0,0,0,33840,30815,5.6,5013,79
Nissan Pathfinder SE,0,0,1,0,0,0,0,0,27339,25972,3.5,3871,72
Nissan Quest S,0,0,0,0,1,0,0,0,24780,22958,3.5,4012,78
Nissan Quest SE,0,0,0,0,1,0,0,0,32780,30019,3.5,4175,78
Nissan Sentra 1.8 4dr,1,0,0,0,0,0,0,0,12740,12205,1.8,2513,67
Nissan Sentra 1.8 S 4dr,1,0,0,0,0,0,0,0,14740,13747,1.8,2581,67
Nissan Sentra SE-R 4dr,1,0,0,0,0,0,0,0,17640,16444,2.5,2761,67
Nissan Titan King Cab XE,0,0,0,0,0,1,1,0,26650,24926,5.6,5287,70
Nissan Xterra XE V6,0,0,1,0,0,0,0,0,20939,19512,3.3,3760,70
Oldsmobile Alero GLS 2dr,1,0,0,0,0,0,0,0,23675,21485,3.4,3085,70
Oldsmobile Alero GX 2dr,1,0,0,0,0,0,0,0,18825,17642,2.2,2946,70
Oldsmobile Silhouette GL,0,0,0,0,1,0,0,0,28790,26120,3.4,3948,72
Pontiac Aztekt,0,0,1,0,0,0,0,0,21595,19810,3.4,3779,74
Pontiac Bonneville GXP 4dr,1,0,0,0,0,0,0,0,35995,32997,4.6,3790,74
Pontiac Grand Am GT 2dr,1,0,0,0,0,0,0,0,22450,20595,3.4,3118,70
Pontiac Grand Prix GT1 4dr,1,0,0,0,0,0,0,0,22395,20545,3.8,3477,74
Pontiac Grand Prix GT2 4dr,1,0,0,0,0,0,0,0,24295,22284,3.8,3484,74
Pontiac GTO 2dr,0,1,0,0,0,0,0,1,33500,30710,5.7,3725,73
Pontiac Montana,0,0,0,0,1,0,0,0,23845,21644,3.4,3803,72
Pontiac Montana EWB,0,0,0,0,1,0,1,0,31370,28454,3.4,4431,72
Pontiac Sunfire 1SA 2dr,1,0,0,0,0,0,0,0,15495,14375,2.2,2771,68
Pontiac Sunfire 1SC 2dr,1,0,0,0,0,0,0,0,17735,16369,2.2,2771,68
Pontiac Vibe,0,0,0,1,0,0,0,1,17045,15973,1.8,2701,70
Porsche 911 Carrera 4S coupe 2dr (convert),0,1,0,0,0,0,1,0,84165,72206,3.6,3240,72
Porsche 911 Carrera convertible 2dr (coupe),0,1,0,0,0,0,0,1,79165,69229,3.6,3135,70
